% R,Z,IsoLevel
1.490341206,2.495297205,45
1.507045444,2.495530056,45
1.523750542,2.495768242,45
1.540456519,2.496011868,45
1.55716339,2.496261043,45
1.573871175,2.496515878,45
1.590579891,2.496776483,45
1.607289557,2.497042974,45
1.624000191,2.497315467,45
1.640711812,2.497594081,45
1.657424441,2.497878935,45
1.674138096,2.498170153,45
1.690852799,2.498467861,45
1.707568569,2.498772185,45
1.724285427,2.499083256,45
1.741003396,2.499401206,45
1.757722496,2.499726169,45
1.77444275,2.500058282,45
1.79116418,2.500397685,45
1.807886809,2.500744519,45
1.824610661,2.501098929,45
1.841335759,2.501461062,45
1.858062127,2.501831068,45
1.874789789,2.502209099,45
1.891518772,2.502595309,45
1.9082491,2.502989857,45
1.924980799,2.503392903,45
1.941713895,2.50380461,45
1.958448416,2.504225143,45
1.975184388,2.504654673,45
1.99192184,2.505093371,45
2.008660799,2.505541411,45
2.025401294,2.505998972,45
2.042143355,2.506466235,45
2.05888701,2.506943383,45
2.075632291,2.507430604,45
2.092379228,2.507928087,45
2.109127852,2.508436028,45
2.125878195,2.508954622,45
2.142630289,2.50948407,45
2.159384168,2.510024576,45
2.176139864,2.510576346,45
2.192897411,2.511139592,45
2.209656845,2.511714527,45
2.2264182,2.512301369,45
2.243181512,2.512900341,45
2.259946818,2.513511666,45
2.276714153,2.514135575,45
2.293483557,2.514772299,45
2.310255067,2.515422077,45
2.327028721,2.516085148,45
2.343804561,2.516761757,45
2.360582624,2.517452153,45
2.377362953,2.51815659,45
2.394145589,2.518875324,45
2.410930575,2.519608617,45
2.427717952,2.520356736,45
2.444507765,2.52111995,45
2.461300058,2.521898535,45
2.478094876,2.52269277,45
2.494892266,2.523502939,45
2.511692273,2.524329332,45
2.528494945,2.525172242,45
2.54530033,2.526031968,45
2.562108478,2.526908814,45
2.578919438,2.527803089,45
2.595733261,2.528715106,45
2.612549998,2.529645185,45
2.629369702,2.530593651,45
2.646192426,2.531560834,45
2.663018224,2.53254707,45
2.679847151,2.533552699,45
2.696679263,2.53457807,45
2.713514618,2.535623534,45
2.730353273,2.536689452,45
2.747195287,2.537776188,45
2.76404072,2.538884114,45
2.780889633,2.540013606,45
2.797742088,2.541165049,45
2.814598147,2.542338834,45
2.831457876,2.543535357,45
2.848321338,2.544755023,45
2.865188601,2.545998243,45
2.882059732,2.547265435,45
2.8989348,2.548557023,45
2.915813873,2.549873441,45
2.932697024,2.551215129,45
2.949584325,2.552582534,45
2.966475848,2.553976111,45
2.966666667,2.553990347,45
2.983333333,2.555372756,45
2.983370326,2.555375931,45
3.000262332,2.556698995,45
3.017158626,2.558047236,45
3.034059285,2.559421101,45
3.050964384,2.560821041,45
3.067874003,2.562247518,45
3.084788221,2.563701001,45
3.101707121,2.56518197,45
3.118630785,2.566690909,45
3.135559297,2.568228314,45
3.152492743,2.56979469,45
3.16943121,2.571390551,45
3.186374789,2.573016419,45
3.203323569,2.574672826,45
3.220277642,2.576360315,45
3.237237104,2.578079439,45
3.254202049,2.57983076,45
3.271172575,2.581614851,45
3.288148782,2.583432296,45
